127.0.0.1/hr/employees/		http://localhost/phpmyadmin/index.php?route=/database/sql&db=hr

   Näytetään rivit 0–106 (107 tulos, Kysely kesti 0,0013 sekuntia.)


SELECT first_name, last_name, salary, salary*1.15 as bonus FROM hr.employees;


first_name	last_name	salary	bonus	
Steven	King	24000.00	27600.0000	
Neena	Kochhar	17000.00	19550.0000	
Lex	De Haan	17000.00	19550.0000	
Alexander	Hunold	9000.00	10350.0000	
Bruce	Ernst	6000.00	6900.0000	
David	Austin	4800.00	5520.0000	
Valli	Pataballa	4800.00	5520.0000	
Diana	Lorentz	4200.00	4830.0000	
Nancy	Greenberg	12000.00	13800.0000	
Daniel	Faviet	9000.00	10350.0000	
John	Chen	8200.00	9430.0000	
Ismael	Sciarra	7700.00	8855.0000	
Jose Manuel	Urman	7800.00	8970.0000	
Luis	Popp	6900.00	7935.0000	
Den	Raphaely	11000.00	12650.0000	
Alexander	Khoo	3100.00	3565.0000	
Shelli	Baida	2900.00	3335.0000	
Sigal	Tobias	2800.00	3220.0000	
Guy	Himuro	2600.00	2990.0000	
Karen	Colmenares	2500.00	2875.0000	
Matthew	Weiss	8000.00	9200.0000	
Adam	Fripp	8200.00	9430.0000	
Payam	Kaufling	7900.00	9085.0000	
Shanta	Vollman	6500.00	7475.0000	
Kevin	Mourgos	5800.00	6670.0000	
Julia	Nayer	3200.00	3680.0000	
Irene	Mikkilineni	2700.00	3105.0000	
James	Landry	2400.00	2760.0000	
Steven	Markle	2200.00	2530.0000	
Laura	Bissot	3300.00	3795.0000	
Mozhe	Atkinson	2800.00	3220.0000	
James	Marlow	2500.00	2875.0000	
TJ	Olson	2100.00	2415.0000	
Jason	Mallin	3300.00	3795.0000	
Michael	Rogers	2900.00	3335.0000	
Ki	Gee	2400.00	2760.0000	
Hazel	Philtanker	2200.00	2530.0000	
Renske	Ladwig	3600.00	4140.0000	
Stephen	Stiles	3200.00	3680.0000	
John	Seo	2700.00	3105.0000	
Joshua	Patel	2500.00	2875.0000	
Trenna	Rajs	3500.00	4025.0000	
Curtis	Davies	3100.00	3565.0000	
Randall	Matos	2600.00	2990.0000	
Peter	Vargas	2500.00	2875.0000	
John	Russell	14000.00	16100.0000	
Karen	Partners	13500.00	15525.0000	
Alberto	Errazuriz	12000.00	13800.0000	
Gerald	Cambrault	11000.00	12650.0000	
Eleni	Zlotkey	10500.00	12075.0000	
Peter	Tucker	10000.00	11500.0000	
David	Bernstein	9500.00	10925.0000	
Peter	Hall	9000.00	10350.0000	
Christopher	Olsen	8000.00	9200.0000	
Nanette	Cambrault	7500.00	8625.0000	
Oliver	Tuvault	7000.00	8050.0000	
Janette	King	10000.00	11500.0000	
Patrick	Sully	9500.00	10925.0000	
Allan	McEwen	9000.00	10350.0000	
Lindsey	Smith	8000.00	9200.0000	
Louise	Doran	7500.00	8625.0000	
Sarath	Sewall	7000.00	8050.0000	
Clara	Vishney	10500.00	12075.0000	
Danielle	Greene	9500.00	10925.0000	
Mattea	Marvins	7200.00	8280.0000	
David	Lee	6800.00	7820.0000	
Sundar	Ande	6400.00	7360.0000	
Amit	Banda	6200.00	7130.0000	
Lisa	Ozer	11500.00	13225.0000	
Harrison	Bloom	10000.00	11500.0000	
Tayler	Fox	9600.00	11040.0000	
William	Smith	7400.00	8510.0000	
Elizabeth	Bates	7300.00	8395.0000	
Sundita	Kumar	6100.00	7015.0000	
Ellen	Abel	11000.00	12650.0000	
Alyssa	Hutton	8800.00	10120.0000	
Jonathon	Taylor	8600.00	9890.0000	
Jack	Livingston	8400.00	9660.0000	
Kimberely	Grant	7000.00	8050.0000	
Charles	Johnson	6200.00	7130.0000	
Winston	Taylor	3200.00	3680.0000	
Jean	Fleaur	3100.00	3565.0000	
Martha	Sullivan	2500.00	2875.0000	
Girard	Geoni	2800.00	3220.0000	
Nandita	Sarchand	4200.00	4830.0000	
Alexis	Bull	4100.00	4715.0000	
Julia	Dellinger	3400.00	3910.0000	
Anthony	Cabrio	3000.00	3450.0000	
Kelly	Chung	3800.00	4370.0000	
Jennifer	Dilly	3600.00	4140.0000	
Timothy	Gates	2900.00	3335.0000	
Randall	Perkins	2500.00	2875.0000	
Sarah	Bell	4000.00	4600.0000	
Britney	Everett	3900.00	4485.0000	
Samuel	McCain	3200.00	3680.0000	
Vance	Jones	2800.00	3220.0000	
Alana	Walsh	3100.00	3565.0000	
Kevin	Feeney	3000.00	3450.0000	
Donald	OConnell	2600.00	2990.0000	
Douglas	Grant	2600.00	2990.0000	
Jennifer	Whalen	4400.00	5060.0000	
Michael	Hartstein	13000.00	14950.0000	
Pat	Fay	6000.00	6900.0000	
Susan	Mavris	6500.00	7475.0000	
Hermann	Baer	10000.00	11500.0000	
Shelley	Higgins	12000.00	13800.0000	
William	Gietz	8300.00	9545.0000	
